Using device: mps
======================================================================
Training model: MLP
======================================================================
Total trainable parameters: 795,010
Starting strategy: constant
constant | Epoch 1 | Train Loss: 0.5236 | Train Acc: 87.0017% | Test Loss: 0.3029 | Test Acc: 91.7200% | LR: 0.010000 | Time: 7.33s
constant | Epoch 2 | Train Loss: 0.2795 | Train Acc: 92.0500% | Test Loss: 0.2469 | Test Acc: 93.2100% | LR: 0.010000 | Time: 6.85s
constant | Epoch 3 | Train Loss: 0.2312 | Train Acc: 93.4917% | Test Loss: 0.2121 | Test Acc: 94.0400% | LR: 0.010000 | Time: 6.94s
constant | Epoch 4 | Train Loss: 0.1985 | Train Acc: 94.4550% | Test Loss: 0.1903 | Test Acc: 94.6000% | LR: 0.010000 | Time: 6.96s
constant | Epoch 5 | Train Loss: 0.1739 | Train Acc: 95.1733% | Test Loss: 0.1666 | Test Acc: 95.3000% | LR: 0.010000 | Time: 7.03s
constant | Epoch 6 | Train Loss: 0.1548 | Train Acc: 95.6733% | Test Loss: 0.1517 | Test Acc: 95.6400% | LR: 0.010000 | Time: 7.03s
constant | Epoch 7 | Train Loss: 0.1392 | Train Acc: 96.1433% | Test Loss: 0.1408 | Test Acc: 96.1400% | LR: 0.010000 | Time: 6.97s
constant | Epoch 8 | Train Loss: 0.1267 | Train Acc: 96.5233% | Test Loss: 0.1302 | Test Acc: 96.3900% | LR: 0.010000 | Time: 7.00s
constant | Epoch 9 | Train Loss: 0.1161 | Train Acc: 96.8583% | Test Loss: 0.1220 | Test Acc: 96.6900% | LR: 0.010000 | Time: 6.97s
constant | Epoch 10 | Train Loss: 0.1071 | Train Acc: 97.1167% | Test Loss: 0.1162 | Test Acc: 96.7700% | LR: 0.010000 | Time: 6.98s
constant | Epoch 11 | Train Loss: 0.0993 | Train Acc: 97.3350% | Test Loss: 0.1126 | Test Acc: 96.8500% | LR: 0.010000 | Time: 7.26s
constant | Epoch 12 | Train Loss: 0.0928 | Train Acc: 97.5117% | Test Loss: 0.1046 | Test Acc: 97.0100% | LR: 0.010000 | Time: 6.61s
constant | Epoch 13 | Train Loss: 0.0866 | Train Acc: 97.6833% | Test Loss: 0.1000 | Test Acc: 97.1500% | LR: 0.010000 | Time: 6.55s
constant | Epoch 14 | Train Loss: 0.0812 | Train Acc: 97.8300% | Test Loss: 0.0969 | Test Acc: 97.2200% | LR: 0.010000 | Time: 6.61s
constant | Epoch 15 | Train Loss: 0.0763 | Train Acc: 97.9850% | Test Loss: 0.0930 | Test Acc: 97.2200% | LR: 0.010000 | Time: 6.59s
